Date,Open,High,Low,Close,Adj Close,Volume
2010-07-19,10098.120117,10213.089844,10051.280273,10154.429688,10154.429688,4089500000
2010-07-20,10151.480469,10248.200195,9973.169922,10229.959961,10229.959961,4713280000
2010-07-21,10226.019531,10310.040039,10053.849609,10120.530273,10120.530273,4747180000
2010-07-22,10121.809570,10391.780273,10121.809570,10322.299805,10322.299805,4826900000
2010-07-23,10321.160156,10465.190430,10237.839844,10424.620117,10424.620117,4524570000
2010-07-26,10424.169922,10545.940430,10391.019531,10525.429688,10525.429688,4009650000
2010-07-27,10525.280273,10632.519531,10460.650391,10537.690430,10537.690430,4725690000
2010-07-28,10537.009766,10586.360352,10445.169922,10497.879883,10497.879883,4002390000
2010-07-29,10498.940430,10609.740234,10383.450195,10467.160156,10467.160156,4612420000
2010-07-30,10465.190430,10528.839844,10327.370117,10465.940430,10465.940430,4006450000
2010-08-02,10468.820313,10715.209961,10468.820313,10674.379883,10674.379883,4144180000
2010-08-03,10673.919922,10714.190430,10564.179688,10636.379883,10636.379883,4071820000
2010-08-04,10630.200195,10738.480469,10583.099609,10680.429688,10680.429688,4057850000
2010-08-05,10679.669922,10712.370117,10571.599609,10674.980469,10674.980469,3685560000
2010-08-06,10668.549805,10688.080078,10491.370117,10653.559570,10653.559570,3857890000
2010-08-09,10654.620117,10755.660156,10618.259766,10698.750000,10698.750000,3979360000
2010-08-10,10696.629883,10717.209961,10522.629883,10644.250000,10644.250000,3979360000
2010-08-11,10631.820313,10631.820313,10339.629883,10378.830078,10378.830078,4511860000
2010-08-12,10361.580078,10388.370117,10222.849609,10319.950195,10319.950195,4521050000
2010-08-13,10320.330078,10381.860352,10254.179688,10303.150391,10303.150391,3328890000
2010-08-16,10303.070313,10354.389648,10193.259766,10302.009766,10302.009766,3142450000
2010-08-17,10297.549805,10501.669922,10297.549805,10405.849609,10405.849609,3968210000
2010-08-18,10398.589844,10486.379883,10308.830078,10415.540039,10415.540039,3724260000
2010-08-19,10411.150391,10412.290039,10202.339844,10271.209961,10271.209961,4290540000
2010-08-20,10270.980469,10276.129883,10131.879883,10213.620117,10213.620117,3761570000
2010-08-23,10215.509766,10328.879883,10146.179688,10174.410156,10174.410156,3210950000
2010-08-24,10170.860352,10170.860352,9975.860352,10040.450195,10040.450195,4436330000
2010-08-25,10040.150391,10104.179688,9925.339844,10060.059570,10060.059570,4360190000
2010-08-26,10059.830078,10138.120117,9959.169922,9985.809570,9985.809570,3646710000
2010-08-27,9982.400391,10176.299805,9925.110352,10150.650391,10150.650391,4102460000
2010-08-30,10145.580078,10170.099609,10005.559570,10009.730469,10009.730469,2917990000
2010-08-31,10006.419922,10101.530273,9915.730469,10014.719727,10014.719727,4038770000
2010-09-01,10016.009766,10305.870117,10016.009766,10269.469727,10269.469727,4396880000
2010-09-02,10270.080078,10350.980469,10211.799805,10320.099609,10320.099609,3704210000
2010-09-03,10321.919922,10484.709961,10321.919922,10447.929688,10447.929688,3534500000
2010-09-07,10446.799805,10448.990234,10304.440430,10340.690430,10340.690430,3107380000
2010-09-08,10338.570313,10460.500000,10318.929688,10387.009766,10387.009766,3224640000
2010-09-09,10388.219727,10515.860352,10359.230469,10415.240234,10415.240234,3387770000
2010-09-10,10415.009766,10502.799805,10376.339844,10462.769531,10462.769531,3061160000
2010-09-13,10458.599609,10605.730469,10458.450195,10544.129883,10544.129883,4521050000
2010-09-14,10544.809570,10622.690430,10460.339844,10526.490234,10526.490234,4521050000
2010-09-15,10526.419922,10609.209961,10453.150391,10572.730469,10572.730469,3369840000
2010-09-16,10571.750000,10624.580078,10499.429688,10594.830078,10594.830078,3364080000
2010-09-17,10595.440430,10689.290039,10529.669922,10607.849609,10607.849609,4086140000
2010-09-20,10608.080078,10783.509766,10594.379883,10753.620117,10753.620117,3364080000
2010-09-21,10753.389648,10844.889648,10674.830078,10761.030273,10761.030273,4175660000
2010-09-22,10761.110352,10829.750000,10682.400391,10739.309570,10739.309570,3911070000
2010-09-23,10738.480469,10779.650391,10610.120117,10662.419922,10662.419922,3847850000
2010-09-24,10664.389648,10897.830078,10664.389648,10860.259766,10860.259766,4123950000
2010-09-27,10860.030273,10902.519531,10776.440430,10812.040039,10812.040039,3587860000
2010-09-28,10809.849609,10905.440430,10714.030273,10858.139648,10858.139648,4025840000
2010-09-29,10857.980469,10901.959961,10759.750000,10835.280273,10835.280273,3990280000
2010-09-30,10835.959961,10960.990234,10732.269531,10788.049805,10788.049805,4284160000
2010-10-01,10789.719727,10907.410156,10759.139648,10829.679688,10829.679688,4298910000
2010-10-04,10828.849609,10875.540039,10682.660156,10751.269531,10751.269531,3604110000
2010-10-05,10752.629883,10982.980469,10752.629883,10944.719727,10944.719727,4068840000
2010-10-06,10936.790039,11015.860352,10880.080078,10967.650391,10967.650391,4073160000
2010-10-07,10968.410156,11032.169922,10878.040039,10948.580078,10948.580078,3910550000
2010-10-08,10948.500000,11055.290039,10901.120117,11006.480469,11006.480469,3871420000
2010-10-11,11006.929688,11068.540039,10956.259766,11010.339844,11010.339844,3118110000
2010-10-12,11010.790039,11064.679688,10890.759766,11020.400391,11020.400391,4076170000
2010-10-13,11022.820313,11187.769531,11014.190430,11096.080078,11096.080078,4969410000
2010-10-14,11096.919922,11148.150391,10996.709961,11096.919922,11096.919922,4969410000
2010-10-15,11096.009766,11172.070313,10985.280273,11062.780273,11062.780273,5724910000
2010-10-18,11062.709961,11184.860352,11021.459961,11143.690430,11143.690430,4450050000
2010-10-19,11139.599609,11139.599609,10897.570313,10978.620117,10978.620117,5600120000
2010-10-20,10974.519531,11176.080078,10969.469727,11107.969727,11107.969727,5027880000
